"Occurrences","Word","Log_Freq_HAL","LgSUBTLWF","OLD","PLD","Concreteness_Rating","Age_Of_Acquisition","Body_Object_Interaction","Emotional_Valence","Emotional_Arousal","Emotional_Dominance","BG_Mean","NPhon","NSyll","NMorph","POS","I_Zscore","Obs","I_Mean_Accuracy","I_NMG_Zscore","I_NMG_Obs","I_NMG_Mean_Accuracy"
"1","coin","8.760","2.697","1.600","1.650","4.890","4.170","6.400","6.550","3.130","6.240","6,694.667","3","1","1","NN|VB","-0.699","27","0.94","-0.492","#","0.964"
"1","cool","10.811","4.000","1.450","1.000","3.530","4.580","2.083","6.820","3.430","6.440","3,112.000","3","1","1","JJ|VB|NN","-0.753","29","0.94","-0.499","#","1.000"
"1","creature","9.715","3.039","2.450","1.950","4.070","7.320","4.833","6.060","4.770","4.820","4,818.714","5","2","1","NN","-0.650","23","1.00","-0.383","#","0.920"
"1","culprit","7.309","1.748","3.000","2.850","3.390","10.650","3.607","2.900","5.540","3.820","2,736.500","7","2","1","NN","-0.179","29","0.80","-0.325","#","1.000"
"1","current","11.934","2.939","2.400","2.600","3.160","8.940","2.261","5.530","3.250","5.900","4,346.833","6","2","2","JJ|NN","-0.644","26","0.97","-0.354","#","1.000"
"1","decade","8.853","2.394","1.850","2.150","3.190","10.160","1.690","4.750","3.610","4.790","3,597.600","5","2","1","NN","-0.577","27","1.00","-0.213","#","0.964"
"1","decline","8.711","2.185","1.950","2.200","2.760","9.740","1.458","3.190","3.600","3.710","5,646.833","6","2","2","NN|VB","-0.601","29","1.00","-0.339","#","1.000"
"1","depth","9.442","2.625","1.900","1.900","3.110","9.720","1.680","5.800","4.350","5.240","2,311.500","4","1","1","NN","-0.542","26","0.97","-0.679","#","1.000"
"1","devastating","7.661","2.146","3.550","3.500","2.100","11.060","#","2.090","5.500","3.960","6,177.300","10","4","2","JJ|VB","0.042","27","0.97","-0.222","#","1.000"
"1","die","11.126","4.125","1.000","1.000","3.070","4.530","3.760","1.670","6.900","3.280","3,954.500","2","1","1","VB|NN","-0.792","28","0.94","-0.622","#","1.000"
"1","dolphins","7.386","2.308","3.500","2.900","#","6.050","#","#","#","#","3,796.000","7","2","2","NN","-0.368","28","1.00","-0.478","#","1.000"
"1","dozen","9.355","3.091","1.850","1.900","4.660","6.890","2.034","5.780","2.950","5.560","2,418.500","4","2","1","NN","-0.810","28","0.91","-0.711","#","1.000"
"1","eighty","6.621","2.114","1.800","1.450","3.410","5.870","#","5.430","3.410","4.410","997.000","3","2","2","minor|NN","-0.435","25","1.00","-0.266","#","1.000"
"1","entangle","4.543","0.845","2.800","2.850","3.480","11.000","#","#","#","#","5,685.000","7","3","2","VB","0.067","27","0.91","-0.058","#","1.000"
"1","esteem","7.133","1.940","2.500","1.900","1.830","10.550","#","6.380","3.910","6.450","6,499.200","5","2","1","NN","-0.466","26","0.97","-0.174","#","1.000"
"1","estimate","9.079","2.387","2.600","2.700","2.650","8.780","2.500","5.950","3.410","5.430","7,358.571","7","3","2","NN","-0.312","28","0.97","-0.516","#","1.000"
"1","excellent","11.282","3.430","3.400","2.700","2.110","7.370","#","7.560","5.150","7.220","3,832.250","8","3","2","JJ|NN","-0.302","27","1.00","-0.572","#","1.000"
"1","far","12.083","4.051","1.000","1.050","2.710","4.879","1.440","#","#","#","3,440.000","3","1","1","RB|JJ","-0.470","28","0.97","-0.582","#","1.000"
"1","fifty","8.495","2.983","1.900","1.800","3.480","5.550","#","4.740","3.450","5.900","1,014.750","5","2","2","minor|NN","-0.294","26","0.88","-0.122","#","1.000"
"1","fishing","9.177","3.081","1.950","1.800","4.300","4.720","#","7.050","3.600","6.330","5,923.000","5","2","2","NN|VB","-0.506","27","0.97","-0.457","#","1.000"
"1","flexible","9.157","2.137","3.300","3.350","2.640","7.580","2.037","6.740","4.450","6.680","2,634.143","8","3","2","JJ","-0.581","28","1.00","-0.598","#","1.000"
"1","for","15.417","5.546","1.300","1.000","1.630","4.389","1.593","#","#","#","3,145.000","3","1","1","minor","-0.721","29","0.97","-0.579","#","1.000"
"1","gear","9.637","2.912","1.350","1.000","4.280","7.610","4.696","5.190","3.170","5.900","3,826.667","3","1","1","NN|VB","-0.636","26","1.00","-0.345","#","0.963"
"1","good","13.352","5.124","1.400","1.500","1.640","3.550","2.143","7.890","3.660","6.410","1,267.667","3","1","1","JJ|NN|RB","-0.621","28","0.91","-0.565","#","1.000"
"1","hearing","10.268","3.358","1.250","1.300","3.180","6.051","#","#","#","#","7,031.333","5","2","2","NN|VB","-0.488","23","1.00","-0.586","#","1.000"
"1","help","12.723","4.672","1.550","1.500","2.560","3.650","2.542","6.950","4.290","6.890","2,480.000","4","1","1","VB|NN","-0.630","27","0.94","-0.732","#","1.000"
"1","helper","7.615","2.017","1.900","1.950","3.390","4.800","#","6.710","3.220","6.600","4,754.600","5","2","2","NN","-0.576","28","0.97","-0.720","#","1.000"
"1","highly","10.615","3.034","2.350","1.750","2.190","#","#","#","#","#","1,812.400","4","2","2","RB|NN","-0.751","25","1.00","-0.361","#","1.000"
"1","humankind","6.616","1.556","3.550","5.700","3.330","7.810","#","6.950","4.830","5.590","4,060.625","10","3","2","NN","-0.116","24","1.00","0.189","#","1.000"
"1","hundred","9.851","3.604","2.300","2.550","3.200","5.470","1.720","6.500","3.700","5.670","4,029.333","7","2","1","minor|NN","-0.308","28","1.00","-0.344","#","1.000"
"1","impenetrable","5.460","1.724","4.350","4.450","2.620","11.110","#","4.950","4.610","4.190","3,810.545","11","5","3","JJ","0.873","19","0.75","0.653","#","0.864"
"1","Indian","10.025","2.245","2.450","2.400","#","#","#","#","#","#","6,253.200","6","2","2","NN|JJ","-0.572","27","0.97","-0.484","#","1.000"
"1","individual","11.086","2.776","3.900","4.400","3.520","7.700","#","6.170","3.470","6.860","3,750.111","10","4","3","JJ|NN","-0.504","29","0.97","-0.329","#","1.000"
"1","intelligent","9.941","2.839","3.900","3.750","2.460","8.280","#","7.600","5.670","6.770","5,839.500","10","4","2","JJ","-0.352","28","1.00","-0.017","#","1.000"
"1","intend","9.315","3.073","1.900","1.800","1.710","8.940","#","5.750","3.390","6.180","7,791.800","6","2","2","VB","-0.436","25","1.00","-0.616","#","0.962"
"1","is","15.683","5.662","1.450","1.000","1.590","5.110","1.696","#","#","#","5,565.000","2","1","1","VB","-0.593","27","1.00","-0.747","#","1.000"
"1","it","15.365","5.984","1.150","1.000","2.810","4.399","1.917","#","#","#","4,095.000","2","1","1","minor|NN","-0.865","29","0.97","-0.874","#","1.000"
"1","keep","12.122","4.554","1.500","1.000","2.370","4.420","#","6.320","3.430","5.710","1,615.000","3","1","1","VB|NN","-0.713","22","0.97","-0.563","#","1.000"
"1","layer","9.185","2.279","1.700","1.650","3.520","8.280","3.429","5.200","3.450","6.040","4,662.750","3","1","1","NN|VB","-0.555","28","0.94","-0.591","#","1.000"
"1","like","13.875","5.309","1.150","1.000","1.890","3.685","1.462","7.440","4.400","6.280","2,613.333","3","1","1","minor|VB|NN|JJ","-0.688","27","0.97","-0.674","#","0.964"
"1","live","11.763","4.245","1.150","1.250","3.570","6.100","2.417","7.950","4.710","6.500","3,598.333","3","1","1","VB","-0.512","26","1.00","-0.637","#","0.963"
"1","long","12.521","4.537","1.500","1.200","3.180","4.240","1.185","#","#","#","6,644.333","3","1","1","JJ|RB|NN|VB","-0.480","27","0.94","-0.677","#","1.000"
"1","majestic","6.741","1.851","3.300","3.300","2.040","10.720","#","7.140","4.160","6.630","5,389.143","8","3","2","JJ|NN","-0.298","27","0.97","-0.389","#","1.000"
"1","man","12.149","4.974","1.000","1.000","4.790","3.110","5.346","5.420","4.360","5.440","5,389.500","3","1","1","NN|VB","-1.003","24","0.97","-0.674","#","1.000"
"1","massive","9.499","2.707","2.500","1.850","3.210","9.110","1.167","5.180","5.790","5.710","3,085.000","5","2","2","JJ|NN","-0.400","27","0.97","-0.503","#","1.000"
