"Occurrences","Word","Log_Freq_HAL","LgSUBTLWF","OLD","PLD","Concreteness_Rating","Age_Of_Acquisition","Body_Object_Interaction","Emotional_Valence","Emotional_Arousal","Emotional_Dominance","BG_Mean","NPhon","NSyll","NMorph","POS","I_Zscore","Obs","I_Mean_Accuracy","I_NMG_Zscore","I_NMG_Obs","I_NMG_Mean_Accuracy"
"1","confusion","9.340","2.561","2.350","2.600","2.240","9.940","#","3.320","4.640","3.080","4,133.750","8","3","2","NN","-0.420","24","1.00","-0.097","#","1.000"
"1","corpse","7.593","2.713","1.900","1.650","4.890","10.000","3.261","2.450","4.890","3.230","3,021.600","5","1","1","NN","-0.542","28","1.00","-0.436","#","1.000"
"1","crime","10.419","3.560","1.650","1.450","3.030","7.670","1.957","1.950","5.680","3.310","3,205.250","4","1","1","NN","-0.726","25","1.00","-0.584","#","1.000"
"1","culture","10.554","2.853","2.300","2.250","2.040","9.520","#","6.280","4.060","5.710","2,800.000","5","2","1","NN","-0.618","27","1.00","-0.441","#","1.000"
"1","debt","9.560","2.861","1.750","1.000","2.720","10.440","1.481","1.950","5.930","3.710","1,832.000","3","1","1","NN","-0.390","25","1.00","-0.431","#","0.926"
"1","deputy","8.476","2.902","2.500","2.850","4.070","6.450","#","5.300","4.050","5.520","1,972.600","7","3","2","NN","-0.192","28","0.97","-0.289","#","1.000"
"1","destroy","9.766","3.381","2.850","2.600","3.080","6.700","2.240","2.670","5.160","4.300","5,515.500","6","2","1","VB","-0.486","28","0.97","-0.167","#","1.000"
"1","diamond","9.814","3.023","2.900","2.300","4.890","6.470","5.304","6.880","5.820","5.640","3,583.667","6","2","1","NN","-0.554","28","1.00","-0.534","#","1.000"
"1","dimension","8.782","2.375","2.700","2.500","2.500","10.260","#","5.240","3.730","5.000","4,478.250","7","3","1","NN","-0.356","26","1.00","-0.161","#","1.000"
"1","disease","10.051","3.126","2.400","1.800","3.450","7.550","3.125","1.680","5.500","2.800","3,920.833","5","2","1","NN","-0.553","26","1.00","-0.384","#","1.000"
"1","dispute","8.742","2.207","2.500","2.600","2.900","12.050","1.773","2.520","4.550","4.140","3,682.167","7","2","2","NN|VB","-0.453","25","1.00","-0.224","#","0.962"
"1","dozen","9.355","3.091","1.850","1.900","4.660","6.890","2.034","5.780","2.950","5.560","2,418.500","4","2","1","NN","-0.810","28","0.91","-0.711","#","1.000"
"1","echo","10.297","2.545","2.150","1.850","3.640","8.000","2.200","5.200","3.610","4.590","2,704.333","3","2","1","NN|VB","-0.442","29","1.00","-0.635","#","1.000"
"1","education","10.982","2.999","2.150","2.600","2.930","6.700","3.043","6.580","4.640","6.820","5,440.375","7","4","3","NN","-0.537","24","1.00","-0.352","#","1.000"
"1","emergency","9.500","3.444","3.250","3.200","2.410","5.940","1.417","2.720","6.430","2.720","3,927.875","8","4","1","NN","-0.274","27","0.97","-0.521","#","1.000"
"1","enemy","9.729","3.394","2.500","2.050","2.830","7.260","4.375","2.220","5.300","2.500","3,617.000","5","3","1","NN","-0.634","27","0.91","-0.431","#","1.000"
"1","error","11.310","2.676","2.100","1.600","2.680","6.210","1.333","3.360","4.430","4.180","5,951.750","3","2","2","NN|JJ","-0.728","28","1.00","-0.692","#","1.000"
"1","failure","10.086","3.010","2.800","2.100","2.080","8.000","1.704","2.150","5.000","5.040","2,992.667","5","2","2","NN","-0.428","27","1.00","-0.417","#","1.000"
"1","fatigue","8.236","1.973","2.800","2.600","3.140","11.830","2.167","3.640","3.260","4.050","3,604.833","5","2","1","NN|VB","-0.534","28","1.00","-0.367","#","1.000"
"1","finance","9.529","2.438","2.350","2.650","3.360","12.520","2.200","4.810","5.600","4.570","5,259.000","6","2","1","NN|VB","-0.397","29","1.00","-0.032","#","1.000"
"1","gloom","8.053","1.778","1.800","1.450","1.860","9.000","1.958","2.890","3.900","4.070","2,036.250","4","1","1","NN","-0.483","26","1.00","-0.639","#","1.000"
